,precision,recall,f1-score,support
blues,0.2624867162592986,0.26673866090712745,0.26459560792715586,926.0
country,0.4248747913188648,0.45325022261798753,0.43860404997845753,1123.0
hip hop,0.5449101796407185,0.4595959595959596,0.49863013698630143,198.0
jazz,0.2650918635170604,0.2763337893296854,0.27059611520428667,731.0
pop,0.32515337423312884,0.3032904148783977,0.31384159881569207,1398.0
reggae,0.3020408163265306,0.287378640776699,0.29452736318407957,515.0
rock,0.2693726937269373,0.27933673469387754,0.274264245460238,784.0
accuracy,,,0.32422907488986785,5675.0
macro avg,0.341990062146077,0.3322749175428191,0.33643701679374444,5675.0
weighted avg,0.3247885616167445,0.32422907488986785,0.3241511407980512,5675.0
